ticket,symbol,direction,lot,entry_price,sl,tp,signal_score,entry_time,exit_price,exit_time,result,pnl,status,ind_open,ind_high,ind_low,ind_close,ind_volume,ind_ema_9,ind_ema_20,ind_ema_50,ind_ema_200,ind_sma_10,ind_sma_20,ind_sma_50,ind_sma_200,ind_macd,ind_macd_signal,ind_histogram,ind_atr,ind_di_pos,ind_di_neg,ind_adx,ind_supertrend,ind_supertrend_dir,ind_supertrend_flip,ind_psar,ind_psar_dir,ind_ichi_tenkan,ind_ichi_kijun,ind_ichi_span_a,ind_ichi_span_b,ind_ichi_cloud_top,ind_ichi_cloud_bot,ind_ichi_cloud_bull,ind_ichi_tk_bull,ind_ichi_tk_bear,ind_rsi,ind_stoch_k,ind_stoch_d,ind_cci,ind_williams_r,ind_mfi,ind_bb_mid,ind_bb_upper,ind_bb_lower,ind_bb_pct,ind_obv,ind_obv_ema,ind_vwap,ind_fib_swing_high,ind_fib_swing_low,ind_fib_236,ind_fib_382,ind_fib_500,ind_fib_618,ind_fib_786,ind_rsi_bull_div,ind_rsi_bear_div,ind_rsi_hid_bull,ind_rsi_hid_bear,ind_bull_chain,ind_bear_chain,ind_close_slope,ind_fvg_bull,ind_fvg_bear,ind_ob_bull,ind_ob_bear,ind_bos_bull,ind_bos_bear,ind_choch_bull,ind_choch_bear,ind_liq_bull_sweep,ind_liq_bear_sweep,ind_candle_pat,ind_candle_ex,ind_h1_datetime,ind_h1_open,ind_h1_high,ind_h1_low,ind_h1_close,ind_h1_volume,ind_h1_ema_9,ind_h1_ema_20,ind_h1_ema_50,ind_h1_ema_200,ind_h1_sma_10,ind_h1_sma_20,ind_h1_sma_50,ind_h1_sma_200,ind_h1_macd,ind_h1_macd_signal,ind_h1_histogram,ind_h1_atr,ind_h1_di_pos,ind_h1_di_neg,ind_h1_adx,ind_h1_supertrend,ind_h1_supertrend_dir,ind_h1_supertrend_flip,ind_h1_psar,ind_h1_psar_dir,ind_h1_ichi_tenkan,ind_h1_ichi_kijun,ind_h1_ichi_span_a,ind_h1_ichi_span_b,ind_h1_ichi_cloud_top,ind_h1_ichi_cloud_bot,ind_h1_ichi_cloud_bull,ind_h1_ichi_tk_bull,ind_h1_ichi_tk_bear,ind_h1_rsi,ind_h1_stoch_k,ind_h1_stoch_d,ind_h1_cci,ind_h1_williams_r,ind_h1_mfi,ind_h1_bb_mid,ind_h1_bb_upper,ind_h1_bb_lower,ind_h1_bb_pct,ind_h1_obv,ind_h1_obv_ema,ind_h1_vwap,ind_h1_fib_swing_high,ind_h1_fib_swing_low,ind_h1_fib_236,ind_h1_fib_382,ind_h1_fib_500,ind_h1_fib_618,ind_h1_fib_786,ind_h1_rsi_bull_div,ind_h1_rsi_bear_div,ind_h1_rsi_hid_bull,ind_h1_rsi_hid_bear,ind_h1_bull_chain,ind_h1_bear_chain,ind_h1_close_slope,ind_h1_fvg_bull,ind_h1_fvg_bear,ind_h1_ob_bull,ind_h1_ob_bear,ind_h1_bos_bull,ind_h1_bos_bear,ind_h1_choch_bull,ind_h1_choch_bear,ind_h1_liq_bull_sweep,ind_h1_liq_bear_sweep,ind_h1_candle_pat,ind_h1_candle_ex
90738897,XAUUSD.m,BUY,0.01,4318.0,4311.81,4329.81,9.074,2026-08-07T10:38:55.300927+00:00,4151.84,2026-08-05T08:38:00+00:00,LOSS,-14.0,CLOSED,4315.75,4317.93,4314.25,4317.81,456,4314.232370358719,4311.179795732835,4301.221286128279,4271.122760887824,4314.496,4311.6355,4301.2476,4263.641299999999,4.277194113763471,4.691786594663501,-0.41459248090002987,4.724709213433622,26.143314618486933,14.275902349236011,33.284318694890764,4302.432024455234,1,0,4308.478560464289,1,4313.715,4307.2,4291.0575,4280.639999999999,4291.0575,4280.639999999999,1,0,0,62.21684565057254,86.11570247934117,74.72910927456458,84.28639673692241,-13.88429752065883,70.44541358411571,4311.6355,4321.302689163141,4301.96831083686,0.8193534281682707,10390.0,9375.737311109713,4311.570619012926,4320.33,4280.08,4310.831,4304.9545,4300.205,4295.4555,4288.6935,0,0,0,0,7.0,1.0,4.490000000000691,0,0,0,0,0,0,0,0,0,0,0,2,2026-08-07 13:00:00+00:00,4316.08,4319.28,4308.07,4317.81,4591,4292.2810898398475,4274.809018838828,4238.786918909115,4143.9839306906915,4284.3550000000005,4264.8505,4251.0806,4107.930899999999,17.909054951071084,12.280864709402886,5.628190241668198,18.20882245547914,28.793980168613693,12.127317454191704,26.865600046629957,4260.195137349433,1,0,4275.234568021224,1,4283.725,4271.88,4247.46,4174.765,4247.46,4174.765,1,0,0,68.36335981783458,97.22099691221932,93.44822457653122,160.71472987762257,-2.779003087780678,76.66278362956895,4264.8505,4319.644905198467,4210.056094801532,0.9832564548166842,8764.0,-14197.93652992299,4264.0002412872955,4320.33,4150.13,4280.1628,4255.3136,4235.23,4215.1464,4186.5528,0,0,0,1,6.0,2.0,20.68000000000029,0,0,0,0,0,0,0,0,0,0,1,2
90739012,XAUUSD.m,BUY,0.01,4317.43,4311.26,4329.26,9.508,2026-08-07T10:39:23.232719+00:00,4151.84,2026-08-05T08:38:00+00:00,LOSS,-14.0,CLOSED,4315.75,4318.03,4314.25,4317.26,509,4314.122370358719,4311.127414780454,4301.199717500827,4271.117288251008,4314.441000000001,4311.608,4301.2366,4263.63855,4.233319469887647,4.683011665888336,-0.4496921960006892,4.73185207057644,26.254803258633274,14.254352493166019,33.303120746737456,4302.452024455233,1,0,4308.478560464289,1,4313.715,4307.2,4291.0575,4280.639999999999,4291.0575,4280.639999999999,1,0,0,61.68053348169041,83.08539944903708,73.71900826446323,82.10725507579599,-16.914600550962923,70.62114843077023,4311.608,4321.204101401372,4302.011898598628,0.7944945954401854,10443.0,9380.784930157333,4311.586221451986,4320.33,4280.08,4310.831,4304.9545,4300.205,4295.4555,4288.6935,0,0,0,0,7.0,1.0,3.9400000000005093,0,0,0,0,0,0,0,0,0,0,0,2,2026-08-07 13:00:00+00:00,4316.08,4319.28,4308.07,4317.26,4644,4292.171089839848,4274.756637886447,4238.765350281665,4143.978458053875,4284.300000000001,4264.822999999999,4251.0696,4107.92815,17.86518030719708,12.272089780628084,5.593090526568995,18.20882245547914,28.793980168613693,12.127317454191704,26.865600046629957,4260.195137349433,1,0,4275.234568021224,1,4283.725,4271.88,4247.46,4174.765,4247.46,4174.765,1,0,0,68.24655138096907,96.61446846052084,93.24604842596506,160.25543316524823,-3.3855315394791563,76.67629935114284,4264.822999999999,4319.505931850721,4210.140068149278,0.9794640505299537,8817.0,-14192.88891087537,4264.013078243654,4320.33,4150.13,4280.1628,4255.3136,4235.23,4215.1464,4186.5528,0,0,0,1,6.0,2.0,20.13000000000011,0,0,0,0,0,0,0,0,0,0,1,2
90739174,XAUUSD.m,BUY,0.01,4317.59,4311.43,4329.43,9.024,2026-08-07T10:39:55.363543+00:00,4151.84,2026-08-05T08:38:00+00:00,LOSS,-14.0,CLOSED,4315.75,4318.25,4314.25,4317.43,574,4314.156370358719,4311.143605256645,4301.206384167494,4271.1189797932975,4314.4580000000005,4311.6165,4301.24,4263.639399999999,4.246880723449067,4.68572391660062,-0.43884319315155285,4.7475663562907435,26.498897391223093,14.207171063578794,33.34399602338047,4302.496024455234,1,0,4308.478560464289,1,4313.715,4307.2,4291.0575,4280.639999999999,4291.0575,4280.639999999999,1,0,0,61.8479213103618,84.0220385674948,74.03122130394912,83.99625865119626,-15.977961432505204,70.8339590632491,4311.6165,4321.233958412488,4301.999041587512,0.802236815105504,10508.0,9386.975406347809,4311.617885494347,4320.33,4280.08,4310.831,4304.9545,4300.205,4295.4555,4288.6935,0,0,0,0,7.0,1.0,4.110000000000582,0,0,0,0,0,0,0,0,0,0,0,2,2026-08-07 13:00:00+00:00,4316.08,4319.28,4308.07,4317.43,4709,4292.2050898398475,4274.7728283626375,4238.772016948331,4143.980149596165,4284.317000000001,4264.831499999999,4251.073,4107.929,17.87874156075759,12.274802031340187,5.603939529417403,18.20882245547914,28.793980168613693,12.127317454191704,26.865600046629957,4260.195137349433,1,0,4275.234568021224,1,4283.725,4271.88,4247.46,4174.765,4247.46,4174.765,1,0,0,68.2827478031042,96.80194089104585,93.30853923614006,160.39744793966744,-3.198059108954154,76.6929307853865,4264.831499999999,4319.548793436845,4210.114206563154,0.9806387222049826,8882.0,-14186.698434684895,4264.037797620695,4320.33,4150.13,4280.1628,4255.3136,4235.23,4215.1464,4186.5528,0,0,0,1,6.0,2.0,20.300000000000182,0,0,0,0,0,0,0,0,0,0,1,2
90739541,XAUUSD.m,BUY,0.01,4316.84,4310.65,4328.65,9.388,2026-08-07T10:41:55.307536+00:00,4151.84,2026-08-05T08:38:00+00:00,LOSS,-14.0,CLOSED,4317.36,4317.36,4315.44,4316.65,233,4314.642296286976,4311.661130375234,4301.807687934643,4270.8548791024505,4314.336,4312.1745,4301.8514000000005,4264.01375,4.182947682524173,4.584148298659843,-0.4012006161356707,4.545596781898671,25.69941601895043,13.778533669669107,33.11922779477463,4303.445422012035,1,0,4308.952618045718,1,4313.674999999999,4310.745,4298.4225,4287.66,4298.4225,4287.66,1,0,0,60.59321687059788,79.06712172923602,79.13807638908484,74.97614827045021,-20.932878270763972,74.53947901059954,4312.1745,4321.56674870783,4302.78225129217,0.7382549770146402,11269.0,10460.637611809834,4312.009543952413,4320.33,4282.83,4311.48,4306.005,4301.58,4297.155,4290.855,0,0,0,0,7.0,1.0,4.099999999999454,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-07 13:00:00+00:00,4316.08,4319.28,4308.07,4316.65,4948,4292.0490898398475,4274.698542648352,4238.741428713037,4143.972388402134,4284.2390000000005,4264.7925,4251.057400000001,4107.9251,17.816519338535727,12.262357586895813,5.5541617516399135,18.20882245547914,28.793980168613693,12.127317454191704,26.865600046629957,4260.195137349433,1,0,4275.234568021224,1,4283.725,4271.88,4247.46,4174.765,4247.46,4174.765,1,0,0,68.11598722152674,95.94177326863665,93.021816695337,159.7454795964495,-4.058226731363343,76.75374713337646,4264.7925,4319.3528283193655,4210.232171680634,0.9752308279420078,9121.0,-14163.93652992299,4264.112927037065,4320.33,4150.13,4280.1628,4255.3136,4235.23,4215.1464,4186.5528,0,0,0,1,6.0,2.0,19.519999999999527,0,0,0,0,0,0,0,0,0,0,1,2
90739640,XAUUSD.m,BUY,0.01,4318.28,4312.02,4330.02,10.043,2026-08-07T10:42:23.079210+00:00,4151.84,2026-08-05T08:38:00+00:00,LOSS,-14.0,CLOSED,4317.36,4318.02,4315.44,4318.02,292,4314.916296286976,4311.791606565711,4301.861413424838,4270.868510943247,4314.473,4312.243,4301.8788,4264.0206,4.292235431812514,4.606005848517512,-0.3137704167049975,4.592739639041582,25.43562055191837,13.637101867416202,33.11922779477463,4303.577422012035,1,0,4308.952618045718,1,4313.674999999999,4310.745,4298.4225,4287.66,4298.4225,4287.66,1,0,0,62.466658878933764,86.86006825938851,81.735725232469,85.10013003179871,-13.139931740611491,77.42469907933997,4312.243,4321.791370155783,4302.694629844218,0.8025123610494717,11794.0,10510.637611809834,4312.047490202527,4320.33,4282.83,4311.48,4306.005,4301.58,4297.155,4290.855,0,0,0,0,7.0,1.0,5.470000000000255,0,0,0,0,0,0,0,0,0,0,1,2,2026-08-07 13:00:00+00:00,4316.08,4319.28,4308.07,4318.02,5007,4292.323089839848,4274.829018838828,4238.795154203233,4143.986020242931,4284.376,4264.861,4251.0848000000005,4107.93195,17.92580708782316,12.2842151367533,5.641591951069859,18.20882245547914,28.793980168613693,12.127317454191704,26.865600046629957,4260.195137349433,1,0,4275.234568021224,1,4283.725,4271.88,4247.46,4174.765,4247.46,4174.765,1,0,0,68.40773301374244,97.45258050286779,93.52541910674738,160.8899734220274,-2.547419497132205,76.76886382076927,4264.861,4319.698199014818,4210.023800985182,0.98469835216817,9180.0,-14158.317482303943,4264.149311016282,4320.33,4150.13,4280.1628,4255.3136,4235.23,4215.1464,4186.5528,0,0,0,1,6.0,2.0,20.890000000000327,0,0,0,0,0,0,0,0,0,0,1,2
90739798,XAUUSD.m,BUY,0.01,4317.88,4311.65,4329.65,10.496,2026-08-07T10:43:23.130335+00:00,4151.84,2026-08-05T08:38:00+00:00,LOSS,-14.0,CLOSED,4317.36,4318.02,4315.44,4317.65,379,4314.842296286975,4311.756368470473,4301.846903620917,4270.864829351207,4314.436,4312.2245,4301.8714,4264.01875,4.262719762296001,4.600102714614209,-0.33738295231820814,4.592739639041582,25.43562055191837,13.637101867416202,33.11922779477463,4303.577422012035,1,0,4308.952618045718,1,4313.674999999999,4310.745,4298.4225,4287.66,4298.4225,4287.66,1,0,0,62.08475410035118,84.75540386803013,81.03417043534954,83.26635321356693,-15.244596131969864,77.65088339302758,4312.2245,4321.727065803107,4302.721934196894,0.7854755290526801,11881.0,10518.923326095548,4312.0799836734695,4320.33,4282.83,4311.48,4306.005,4301.58,4297.155,4290.855,0,0,0,0,7.0,1.0,5.099999999999454,0,0,0,0,0,0,0,0,0,0,1,2,2026-08-07 13:00:00+00:00,4316.08,4319.28,4308.07,4317.65,5094,4292.249089839847,4274.79378074359,4238.780644399311,4143.982338650891,4284.339000000001,4264.8425,4251.0774,4107.9301000000005,17.896291418307555,12.27831200285018,5.617979415457375,18.20882245547914,28.793980168613693,12.127317454191704,26.865600046629957,4260.195137349433,1,0,4275.234568021224,1,4283.725,4271.88,4247.46,4174.765,4247.46,4174.765,1,0,0,68.32946791395574,97.04455227172444,93.38940969636626,160.5811649004069,-2.955447728275565,76.79088621711288,4264.8425,4319.604386044576,4210.080613955423,0.9821555995808324,9267.0,-14150.031768018227,4264.175579087565,4320.33,4150.13,4280.1628,4255.3136,4235.23,4215.1464,4186.5528,0,0,0,1,6.0,2.0,20.519999999999527,0,0,0,0,0,0,0,0,0,0,1,2
90739946,XAUUSD.m,BUY,0.01,4318.18,4311.92,4329.92,10.521,2026-08-07T10:44:23.127058+00:00,4151.84,2026-08-05T08:38:00+00:00,LOSS,-14.0,CLOSED,4317.36,4318.17,4315.44,4317.92,495,4314.8962962869755,4311.782082756187,4301.857491856211,4270.867515918371,4314.463000000001,4312.238,4301.8768,4264.0201,4.2842582238354225,4.604410406922093,-0.3201521830866705,4.603453924755843,25.376420544626622,13.605362263173348,33.11922779477463,4303.607422012035,1,0,4308.952618045718,1,4313.674999999999,4310.745,4298.4225,4287.66,4298.4225,4287.66,1,0,0,62.3642021186944,86.29124004550702,81.54611582784183,85.34754822265748,-13.708759954492972,77.9455732485019,4312.238,4321.773729155475,4302.702270844526,0.7979321196815682,11997.0,10529.970945143166,4312.132084209392,4320.33,4282.83,4311.48,4306.005,4301.58,4297.155,4290.855,0,0,0,0,7.0,1.0,5.369999999999891,0,0,0,0,0,0,0,0,0,0,1,2,2026-08-07 13:00:00+00:00,4316.08,4319.28,4308.07,4317.92,5210,4292.303089839847,4274.819495029305,4238.791232634606,4143.985025218055,4284.366,4264.856,4251.0828,4107.93145,17.917829879846067,12.282619695157882,5.6352101846881855,18.20882245547914,28.793980168613693,12.127317454191704,26.865600046629957,4260.195137349433,1,0,4275.234568021224,1,4283.725,4271.88,4247.46,4174.765,4247.46,4174.765,1,0,0,68.38661845488285,97.34230260255862,93.48865980664432,160.8065326763299,-2.6576973974413836,76.82026021490992,4264.856,4319.672805106705,4210.039194893295,0.9840121555488982,9383.0,-14138.984148970609,4264.219464850888,4320.33,4150.13,4280.1628,4255.3136,4235.23,4215.1464,4186.5528,0,0,0,1,6.0,2.0,20.789999999999964,0,0,0,0,0,0,0,0,0,0,1,2
90740019,XAUUSD.m,BUY,0.01,4317.0,4310.78,4328.78,9.388,2026-08-07T10:44:55.331815+00:00,4151.84,2026-08-05T08:38:00+00:00,LOSS,-14.0,CLOSED,4317.36,4318.17,4315.44,4316.78,554,4314.668296286975,4311.673511327615,4301.812785973858,4270.856172634789,4314.349,4312.1810000000005,4301.854,4264.0144,4.193318052895847,4.586222372734178,-0.39290431983833063,4.603453924755843,25.376420544626622,13.605362263173348,33.11922779477463,4303.607422012035,1,0,4308.952618045718,1,4313.674999999999,4310.745,4298.4225,4287.66,4298.4225,4287.66,1,0,0,60.80824276117607,79.80659840727988,79.38456861509945,79.68330458965286,-20.193401592720118,78.0923608324554,4312.1810000000005,4321.586460675936,4302.775539324065,0.7444856322543615,10948.0,10430.066183238405,4312.1390951039575,4320.33,4282.83,4311.48,4306.005,4301.58,4297.155,4290.855,0,0,0,0,7.0,1.0,4.229999999999563,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-07 13:00:00+00:00,4316.08,4319.28,4308.07,4316.78,5269,4292.075089839847,4274.710923600733,4238.746526752253,4143.973681934473,4284.252,4264.799,4251.06,4107.92575,17.826889708905583,12.264431660969786,5.562458047935797,18.20882245547914,28.793980168613693,12.127317454191704,26.865600046629957,4260.195137349433,1,0,4275.234568021224,1,4283.725,4271.88,4247.46,4174.765,4247.46,4174.765,1,0,0,68.14390232034462,96.0851345390382,93.06960378547085,159.8542069298851,-3.914865460961811,76.83504120277573,4264.799,4319.385365716234,4210.2126342837655,0.9761353803092643,9442.0,-14133.365101351561,4264.226351492928,4320.33,4150.13,4280.1628,4255.3136,4235.23,4215.1464,4186.5528,0,0,0,1,6.0,2.0,19.649999999999636,0,0,0,0,0,0,0,0,0,0,1,2
90740097,XAUUSD.m,BUY,0.01,4317.15,4310.89,4328.89,9.963,2026-08-07T10:45:23.203071+00:00,4151.84,2026-08-05T08:38:00+00:00,LOSS,-14.0,CLOSED,4316.84,4317.35,4316.56,4316.89,56,4315.12063702958,4312.174628160855,4302.405398574793,4271.023272031434,4314.435,4312.734,4302.357,4264.3841999999995,4.120420059942262,4.493700376275953,-0.3732803163336911,4.331063680801133,25.045800156162308,13.428102486468044,32.91046038030352,4304.840179813702,1,0,4309.407713323889,1,4313.16,4311.255,4299.95,4288.615,4299.95,4288.615,1,0,0,60.96033384505857,71.94127243067261,78.53785072084206,75.31045263858755,-28.058727569327395,76.46234461072078,4312.734,4321.876337372457,4303.591662627544,0.727294171648101,11955.0,11437.363734238068,4312.462757077319,4320.33,4282.83,4311.48,4306.005,4301.58,4297.155,4290.855,0,0,0,0,6.0,2.0,3.2200000000002547,0,0,0,0,0,0,0,0,0,0,0,1,2026-08-07 13:00:00+00:00,4316.08,4319.28,4308.07,4316.89,5327,4292.097089839848,4274.721399791209,4238.750840477743,4143.974776461836,4284.263000000001,4264.8045,4251.0622,4107.9263,17.835664637680566,12.266186646724782,5.569477990955784,18.20882245547914,28.793980168613693,12.127317454191704,26.865600046629957,4260.195137349433,1,0,4275.234568021224,1,4283.725,4271.88,4247.46,4174.765,4247.46,4174.765,1,0,0,68.16748463801062,96.20644022937849,93.11003901558428,159.94618636859497,-3.793559770621514,76.84967838584996,4264.8045,4319.412936007261,4210.196063992739,0.9768997595268492,9500.0,-14127.841291827752,4264.24787093559,4320.33,4150.13,4280.1628,4255.3136,4235.23,4215.1464,4186.5528,0,0,0,1,6.0,2.0,19.76000000000022,0,0,0,0,0,0,0,0,0,0,1,2
90740142,XAUUSD.m,BUY,0.01,4317.61,4311.39,4329.39,9.118,2026-08-07T10:45:55.338928+00:00,4151.84,2026-08-05T08:38:00+00:00,LOSS,-14.0,CLOSED,4316.84,4317.47,4316.53,4317.39,122,4315.220637029581,4312.222247208474,4302.4250064179305,4271.028247155812,4314.485000000001,4312.759,4302.367,4264.3867,4.160306099828631,4.501677584253227,-0.3413714844245961,4.341777966515457,24.983994172326533,13.39496570984086,32.91046038030352,4304.840179813702,1,0,4309.407713323889,1,4313.16,4311.255,4299.95,4288.615,4299.95,4288.615,1,0,0,61.52563029031452,76.01957585644742,79.89728519610031,78.36366357034345,-23.98042414355259,76.64929410324972,4312.759,4321.951784126707,4303.566215873293,0.7518823425074382,12021.0,11443.649448523784,4312.489384632504,4320.33,4282.83,4311.48,4306.005,4301.58,4297.155,4290.855,0,0,0,0,6.0,2.0,3.7200000000002547,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-07 13:00:00+00:00,4316.08,4319.28,4308.07,4317.39,5393,4292.197089839848,4274.769018838828,4238.77044832088,4143.979751586214,4284.313,4264.8295,4251.0722000000005,4107.9288,17.875550677566935,12.274163854702056,5.601386822864878,18.20882245547914,28.793980168613693,12.127317454191704,26.865600046629957,4260.195137349433,1,0,4275.234568021224,1,4283.725,4271.88,4247.46,4174.765,4247.46,4174.765,1,0,0,68.27423842402328,96.75782973092238,93.29383551609891,160.3640367520315,-3.242170269077625,76.86635160698053,4264.8295,4319.5387007945665,4210.120299205433,0.9803625280267343,9566.0,-14121.555577542038,4264.277013640203,4320.33,4150.13,4280.1628,4255.3136,4235.23,4215.1464,4186.5528,0,0,0,1,6.0,2.0,20.26000000000022,0,0,0,0,0,0,0,0,0,0,1,2
